visual_id,x,y,width,height,measure,client,layout_lane,filter_context,description,source_class,upstream_tables,audit_note
200baa6e0ce948a6e0aa,1673.75,2149.167,143.333,53.333,E-P-D-DAF-RF3,DAF,Rodapé sobreposto,Operações[Dados ]=Roll Former 3,Estoque em Peças em Dias na DAF Pós Rollformer 3,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS,duplicação de cartões DAF; validar se deve permanecer

1c6edf674fe5684a5452,9712.083,2150.833,183.333,61.667,Q-D-S-T,Compartilhado/por contexto,Segregação,,Quantidade de Dias Segregados Total,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS; FH; SCANIA; Segregacao; VM,

d2d0e184ac1177764f0f,8607.083,2152.5,256.667,60.0,T-M,DAF,Rodapé sobreposto,,Tempo de Movimentação,CONSTANTE ou medida derivada,,duplicação de cartões DAF; validar se deve permanecer

55801c506eca6b634bbc,9223.75,2155.833,256.667,60.0,T-M,DAF,Rodapé sobreposto,,Tempo de Movimentação,CONSTANTE ou medida derivada,,duplicação de cartões DAF; validar se deve permanecer

21433cc6cf8bc088f6be,6011.75,2156.5,122.0,54.0,D-E-DAF-CL,DAF,Rodapé sobreposto,,Dias de Estoque DAF Cantilever,BANCO/CÁLCULO,DAF; DAF SLITTERS,duplicação de cartões DAF; validar se deve permanecer

bd42434f2f20260824be,5505.417,2157.5,255.0,60.0,T-M,DAF,Rodapé sobreposto,,Tempo de Movimentação,CONSTANTE ou medida derivada,,duplicação de cartões DAF; validar se deve permanecer

bdaffc2ab6d03bc4799b,7493.75,2157.5,255.0,60.0,T-M,DAF,Rodapé sobreposto,,Tempo de Movimentação,CONSTANTE ou medida derivada,,duplicação de cartões DAF; validar se deve permanecer

c6f8a94da5a709919a72,7773.75,2157.5,255.0,60.0,E-P-D-DAF-STJ,DAF,Rodapé sobreposto,Operações[Dados ]=Ag. Stenhøj,Estoque em Peças em Dias DAF Stenhoj,BANCO/CÁLCULO,Calendar; DAF; DAF SLITTERS,duplicação de cartões DAF; validar se deve permanecer

